ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
'17861299831918179',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17861299831918179,"Let’s rise to the challenge. What are you doing to #ComeBackStronger? Take part in the #ClearResilienceChallenge, details in @clear.haircare  story highlights.
#KeepaClearHead #MentalHealthMatters",23690181,0,23690181,1870114,18251,-,-,15382
'17880831451601980',martavsilva10,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17880831451601980,"Having a powerful identity is key to building resilience and #ComeBackStronger. Today I talk about this on Day 5 of Clear’s 14 Days Resilience Challenge on @clear.haircare. Watch my full video and others at https://bit.ly/cbschannel.
#KeepAClearHead #ClearResilienceChallenge #Resilience #MentalHealthMatters #StayHomeStayStrong
.
Ter uma identidade pessoal forte é importante para se manter resiliente e voltar mais forte. Hoje eu falo sobre isso no Dia 5 do Desafio de Resiliência de 14 dias de Clear. Assista o vídeo completo e outros em https://bit.ly/cbschannel. #resiliencia #VolteMaisForte",244202,0,244202,7513,198,-,-,44
'18018678271273973',cristiano,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18018678271273973,"Today is day 1 of Clear’s 14 day resilience challenge to #ComeBackStronger. Follow @clear.haircare over the next two weeks. Get the download from clearhaircare.bio on skills, hacks and tips on how to build your resilience.

#KeepaClearHead #MentalHealthMatters",26780313,0,26780313,2247129,17666,-,-,9041
'18067098325202838',martavsilva10,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18067098325202838,"Let adversity shape the best of us so we can all #comebackstronger. Be part of the Clear 14 Days Resilience Challenge ‪from May 1st‬ at @clear.haircare. I know I will. #keepaclearhead #resilience #mentalhealthmatters .
.
Deixe os desafios revelarem o que há de melhor pra que você #voltemaisforte . Participe do desafio de resiliência de 14 dias em @clear.haircare. Eu sei que eu vou participar. #resiliencia",136077,0,136077,6309,77,-,-,67
'18065837956200084',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18065837956200084,These are challenging times. Let’s make sure we stay on top of our game so we can all #comebackstronger. Be part of the Clear 14 Days Resilience Challenge from May 1st at @clear.haircare. I know I will. #keepaclearhead #resilience #mentalhealthmatters,42974118,21922926,21479944,2143408,16990,-,-,30496
'17863376077731213',desimpedidos,Carousel,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17863376077731213,"O desafio com @Cristiano, @martavsilva10 e @Fred foi histórico! É o momento da gente ver o que rolou por trás disso tudo, o Toppen Viagem está no ar e vai contar o que aconteceu nesse dia TOPPEN! Valeu @clear.haircare! #ClearSports #ClearBrasil #clearcr7martafred #keepaclearhead

Link nos stories",510363,0,510363,74626,127,-,-,235
'18133060573012284',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18133060573012284,,43089,0,43089,-,-,-,-,-
'17848633225915956',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17848633225915956,@CLEAR.HAIRCARE  #KEEPACLEARHEAD,406825,0,406825,-,-,-,-,-
'17858872438771659',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17858872438771659,,37488,0,37488,-,-,-,-,-
'17918106214387149',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17918106214387149,@clear.haircare  #KEEPACLEARHEAD,332558,0,332558,-,-,-,-,-
'18129380233055410',goalglobal,Carousel,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18129380233055410,"Play with #Courage, with #NoDoubts.
The BIG one is here 🏟
It’s #ElClasico 😃
Who will #KeepaClearHead? 🤔",157666,0,157666,17466,75,-,-,301
'17917741639375886',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17917741639375886,#KEEPACLEARHEAD @CLEAR.HAIRCARE,577531,0,577531,-,-,-,-,-
'17901216103435336',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17901216103435336,,35470,0,35470,-,-,-,-,-
'17886780250495105',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17886780250495105,@clear.haircare  #KEEPACLEARHEAD,319359,0,319359,-,-,-,-,-
'17887245562481762',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17887245562481762,@clear.haircare  #KEEPACLEARHEAD,329008,0,329008,-,-,-,-,-
'17946730138323151',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17946730138323151,@clear.haircare  #KEEPACLEARHEAD,365946,0,365946,-,-,-,-,-
'17916380023378604',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17916380023378604,@clear.haircare  #KEEPACLEARHEAD,315135,0,315135,-,-,-,-,-
'17850634492883896',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17850634492883896,@clear.haircare  #KEEPACLEARHEAD,321401,0,321401,-,-,-,-,-
'18076024237194713',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18076024237194713,@clear.haircare  #KEEPACLEARHEAD,336001,0,336001,-,-,-,-,-
'18131563087050034',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18131563087050034,,37625,0,37625,-,-,-,-,-
'17851677667865760',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17851677667865760,@clear.haircare  #KEEPACLEARHEAD,369277,0,369277,-,-,-,-,-
'17868717877615201',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17868717877615201,#KEEPACLEARHEAD @clear.haircare,288991,0,288991,-,-,-,-,-
'17848747003887082',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17848747003887082,#KEEPACLEARHEAD @clear.haircare,293435,0,293435,-,-,-,-,-
'17844339514980489',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17844339514980489,#KEEPACLEARHEAD @clear.haircare,302641,0,302641,-,-,-,-,-
'17862411865683157',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17862411865683157,,40940,0,40940,-,-,-,-,-
'18126717910049966',desimpedidos,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18126717910049966,"A SuperCopa das Mina 2020 já acabou, mas a @clear.haircare segue com um projeto foda de incentivo ao futebol feminino! Em breve a Clear vai lançar uma plataforma com aulas online, pra aprimorar o fut das minas! Fica esperta nas redes de @clear.haircare e no site da marca pra mais informações e BORA JOGAR! #clearsports #borajogar #futebolfeminino",360573,0,360573,28084,29,-,-,87
'17879077609523171',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17879077609523171,@clear.haircare  #KEEPACLEARHAIR,328472,0,328472,-,-,-,-,-
'18084655264154013',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18084655264154013,@clear.haircare  #KEEPACLEARHEAD,337603,0,337603,-,-,-,-,-
'17982097480288443',laliga,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17982097480288443,@clear.haircare  #KEEPACLEARHEAD,372759,0,372759,-,-,-,-,-
'18091911985137342',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18091911985137342,,46611,0,46611,-,-,-,-,-
